Country,"Container Name","Impression Create Date",Location,"Recommendation ID"
"United States",N/A,20250502,"FUSE.ForYou.Module.Recently.Played","797aef8a-e301-4543-8b4d-f8de1a6c6f24~06e6c70d-ec44-4ca8-b62b-e5317365ae91~16~1746157471501"
"United States",N/A,20250502,"FUSE.ForYou.Module.Recently.Played","797aef8a-e301-4543-8b4d-f8de1a6c6f24~06e6c70d-ec44-4ca8-b62b-e5317365ae91~16~1746157471501"
"United States",N/A,20250502,"FUSE.ForYou.Module.Recently.Played","797aef8a-e301-4543-8b4d-f8de1a6c6f24~06e6c70d-ec44-4ca8-b62b-e5317365ae91~16~1746157471501"
"United States",N/A,20250502,"FUSE.ForYou.Module.Recently.Played","797aef8a-e301-4543-8b4d-f8de1a6c6f24~06e6c70d-ec44-4ca8-b62b-e5317365ae91~16~1746157471501"
"United States","Alicia Creti - Self/Less",20250502,FY.Module.TopPicks,"797aef8a-e301-4543-8b4d-f8de1a6c6f24~63196311-c22b-4d79-81d7-e189427f3539~24~1746157471509"
"United States","Jorja Smith - The Way I Love You - Single",20250502,FY.Module.TopPicks,"797aef8a-e301-4543-8b4d-f8de1a6c6f24~63196311-c22b-4d79-81d7-e189427f3539~24~1746157471509"
"United States","Friends Mix",20250502,FY.Module.TopPicks,"797aef8a-e301-4543-8b4d-f8de1a6c6f24~63196311-c22b-4d79-81d7-e189427f3539~24~1746157471509"
"United States","Olivia Rodrigo Radio",20250502,FY.Module.TopPicks,"797aef8a-e301-4543-8b4d-f8de1a6c6f24~63196311-c22b-4d79-81d7-e189427f3539~24~1746157471509"
"United States",N/A,20250502,"FUSE.ForYou.Module.Recently.Played","797aef8a-e301-4543-8b4d-f8de1a6c6f24~06e6c70d-ec44-4ca8-b62b-e5317365ae91~16~1746157471501"
"United States","Kehlani Radio",20250425,FY.Module.TopPicks,"94232ec6-2681-4575-870f-49f205809b59~89637225-25a7-46d7-869b-cea77ba3e919~24~1745559563627"
"United States",N/A,20250425,FY.Module.TopPicks,"94232ec6-2681-4575-870f-49f205809b59~89637225-25a7-46d7-869b-cea77ba3e919~24~1745559563627"
"United States","Camila Cabello - Romance",20250425,"FUSE.ForYou.Module.Recently.Played","94232ec6-2681-4575-870f-49f205809b59~7a66e088-171c-4709-bb90-519386550df3~16~1745559563608"
"United States","Camila Cabello - Camila",20250425,"FUSE.ForYou.Module.Recently.Played","94232ec6-2681-4575-870f-49f205809b59~7a66e088-171c-4709-bb90-519386550df3~16~1745559563608"
"United States","Ed Sheeran - South of the Border (feat. Camila Cabello & Cardi B) [Andy Jarvis Remix] - Single",20250425,"FUSE.ForYou.Module.Recently.Played","94232ec6-2681-4575-870f-49f205809b59~7a66e088-171c-4709-bb90-519386550df3~16~1745559563608"
"United States","Tate McRae - So Close To What",20250425,FY.Module.TopPicks,"94232ec6-2681-4575-870f-49f205809b59~89637225-25a7-46d7-869b-cea77ba3e919~24~1745559563627"
"United States","Vitamin String Quartet - VSQ Performs Frank Ocean",20250425,FY.Module.TopPicks,"94232ec6-2681-4575-870f-49f205809b59~89637225-25a7-46d7-869b-cea77ba3e919~24~1745559563627"
"United States",N/A,20250425,"FUSE.ForYou.Module.Recently.Played","94232ec6-2681-4575-870f-49f205809b59~7a66e088-171c-4709-bb90-519386550df3~16~1745559563608"
"United States","ROSALÍA Radio",20250425,FY.Module.TopPicks,"94232ec6-2681-4575-870f-49f205809b59~89637225-25a7-46d7-869b-cea77ba3e919~24~1745559563627"
"United States","Bad Bunny - DeBÍ TiRAR MáS FOToS",20250417,FY.Module.TopPicks,"a0767e73-9184-4e6b-93f4-868ae71295cd~34494b3c-4836-4e6e-b33d-db5be8e215ed~24~1744915835380"
"United States","Lady Gaga & Gesaffelstein - Abracadabra (Gesaffelstein Remix) - Single",20250417,FY.Module.TopPicks,"a0767e73-9184-4e6b-93f4-868ae71295cd~34494b3c-4836-4e6e-b33d-db5be8e215ed~24~1744915835380"
"United States",N/A,20250417,"FUSE.ForYou.Module.Recently.Played","a0767e73-9184-4e6b-93f4-868ae71295cd~0c0583c5-d346-4a08-8fac-f1dedeaaa084~16~1744915835361"
"United States","Kali Uchis Radio",20250417,FY.Module.TopPicks,"a0767e73-9184-4e6b-93f4-868ae71295cd~34494b3c-4836-4e6e-b33d-db5be8e215ed~24~1744915835380"
"United States",N/A,20250417,FY.Module.TopPicks,"a0767e73-9184-4e6b-93f4-868ae71295cd~34494b3c-4836-4e6e-b33d-db5be8e215ed~24~1744915835380"
"United States","Lady Gaga - MAYHEM",20250417,"FUSE.ForYou.Module.Recently.Played","a0767e73-9184-4e6b-93f4-868ae71295cd~0c0583c5-d346-4a08-8fac-f1dedeaaa084~16~1744915835361"
"United States",N/A,20250417,"FUSE.ForYou.Module.Recently.Played","a0767e73-9184-4e6b-93f4-868ae71295cd~0c0583c5-d346-4a08-8fac-f1dedeaaa084~16~1744915835361"
"United States",N/A,20250417,"FUSE.ForYou.Module.Recently.Played","a0767e73-9184-4e6b-93f4-868ae71295cd~0c0583c5-d346-4a08-8fac-f1dedeaaa084~16~1744915835361"
"United States",N/A,20250417,"FUSE.ForYou.Module.Recently.Played","a0767e73-9184-4e6b-93f4-868ae71295cd~0c0583c5-d346-4a08-8fac-f1dedeaaa084~16~1744915835361"
"United States","Charli xcx - Brat and it’s completely different but also still brat",20250417,FY.Module.TopPicks,"f14393f9-a181-446f-8db3-92b9036bde31~1c2f0743-29a2-4303-bef4-93a3bd677f28~24~1744895479018"
"United States",N/A,20250417,FY.Module.TopPicks,"f14393f9-a181-446f-8db3-92b9036bde31~1c2f0743-29a2-4303-bef4-93a3bd677f28~24~1744895479018"
"United States",N/A,20250417,"FUSE.ForYou.Module.Recently.Played","f14393f9-a181-446f-8db3-92b9036bde31~75263a41-00f9-47e6-beaf-7f2ede5338eb~16~1744895478998"
"United States",N/A,20250417,"FUSE.ForYou.Module.Recently.Played","f14393f9-a181-446f-8db3-92b9036bde31~75263a41-00f9-47e6-beaf-7f2ede5338eb~16~1744895478998"
"United States",N/A,20250417,"FUSE.ForYou.Module.Recently.Played","f14393f9-a181-446f-8db3-92b9036bde31~75263a41-00f9-47e6-beaf-7f2ede5338eb~16~1744895478998"
"United States",N/A,20250417,"FUSE.ForYou.Module.Recently.Played","f14393f9-a181-446f-8db3-92b9036bde31~75263a41-00f9-47e6-beaf-7f2ede5338eb~16~1744895478998"
"United States","Big Time Rush Radio",20250417,FY.Module.TopPicks,"f14393f9-a181-446f-8db3-92b9036bde31~1c2f0743-29a2-4303-bef4-93a3bd677f28~24~1744895479018"
"United States","Tyler, The Creator - CHROMAKOPIA",20250407,FY.Module.TopPicks,"55c00d20-9656-41bb-9dd2-3a882ccbe83c~ae960d31-e752-462a-a63f-ffbe9766bb0b~19"
"United States","PinkPantheress - Tonight - Single",20250407,FY.Module.TopPicks,"55c00d20-9656-41bb-9dd2-3a882ccbe83c~ae960d31-e752-462a-a63f-ffbe9766bb0b~19"
"United States",N/A,20250407,"FUSE.ForYou.Module.Recently.Played","55c00d20-9656-41bb-9dd2-3a882ccbe83c~3e8b49f3-7346-4978-977f-e8c7cb1bb0fa~7|1743975326004"
"United States",N/A,20250407,"FUSE.ForYou.Module.Recently.Played","55c00d20-9656-41bb-9dd2-3a882ccbe83c~3e8b49f3-7346-4978-977f-e8c7cb1bb0fa~7|1743975326004"
"United States",N/A,20250407,"FUSE.ForYou.Module.Recently.Played","55c00d20-9656-41bb-9dd2-3a882ccbe83c~3e8b49f3-7346-4978-977f-e8c7cb1bb0fa~7|1743975326004"
"United States","Clean Pop Hits 2025 🫧",20250407,"FUSE.ForYou.Module.Recently.Played","55c00d20-9656-41bb-9dd2-3a882ccbe83c~3e8b49f3-7346-4978-977f-e8c7cb1bb0fa~7|1743975326004"
"United States",N/A,20250407,FY.Module.TopPicks,"55c00d20-9656-41bb-9dd2-3a882ccbe83c~ae960d31-e752-462a-a63f-ffbe9766bb0b~19"
"United States","Tanner Adell - Religion - A Colors Show - Single",20250311,"FUSE.ForYou.Module.Recently.Played","b433b741-a2a5-4172-80c1-b319dfee32b5~5d9ce391-9a60-45b7-9df7-6c08175f546e~7|1741710299440"
"United States","Lady Gaga - MAYHEM",20250311,FY.Module.TopPicks,"b433b741-a2a5-4172-80c1-b319dfee32b5~d086140a-23c6-4734-b979-a53d1ee52e83~19"
"United States",N/A,20250311,"FUSE.ForYou.Module.Recently.Played","b433b741-a2a5-4172-80c1-b319dfee32b5~5d9ce391-9a60-45b7-9df7-6c08175f546e~7|1741710299440"
"United States",N/A,20250311,"FUSE.ForYou.Module.Recently.Played","b433b741-a2a5-4172-80c1-b319dfee32b5~5d9ce391-9a60-45b7-9df7-6c08175f546e~7|1741710299440"
"United States",N/A,20250311,"FUSE.ForYou.Module.Recently.Played","b433b741-a2a5-4172-80c1-b319dfee32b5~5d9ce391-9a60-45b7-9df7-6c08175f546e~7|1741710299440"
"United States",N/A,20250311,FY.Module.TopPicks,"b433b741-a2a5-4172-80c1-b319dfee32b5~d086140a-23c6-4734-b979-a53d1ee52e83~19"
"United States",N/A,20250311,FY.Module.TopPicks,"b433b741-a2a5-4172-80c1-b319dfee32b5~d086140a-23c6-4734-b979-a53d1ee52e83~19"
